Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Aug 26, 2014",60.505,60.58,60.435,77783.7,,60.435
"Aug 27, 2014",60.485,60.515,60.35,77553.5,,60.455
"Aug 28, 2014",60.405,60.698,60.365,78398.6,,60.5
"Aug 29, 2014",60.51,60.55,60.47,78019.3,,60.52
"Sep 1, 2014",60.51,60.535,60.425,77839.7,,60.53
"Sep 2, 2014",60.585,60.695,60.495,76837.2,,60.685
"Sep 3, 2014",60.605,60.695,60.335,76531.1,,60.49
"Sep 4, 2014",60.465,60.49,60.355,76874.9,,60.36
"Sep 5, 2014",60.445,60.505,60.38,76477.5,,60.395
"Sep 08, 2014",60.305,60.325,60.212,75879.9,,60.275
"Sep 09, 2014",60.435,60.673,60.405,76041.9,,60.605
"Sep 10, 2014",60.78,61.045,60.76,76185.9,,60.93
"Sep 11, 2014",60.845,60.945,60.72,75536.3,,60.93
"Sep 12, 2014",60.975,61.025,60.645,74773.6,,60.655
"Sep 15, 2014",60.655,61.175,60.655,75406.5,,61.105
"Sep 16, 2014",61.025,61.165,61.007,75284.3,,61.06
"Sep 17, 2014",60.985,61.043,60.83,75280.1,,60.915
"Sep 18, 2014",61.115,61.22,60.74,74310.1,,60.74
"Sep 19, 2014",60.78,60.9,60.73,74237,,60.86
"Sep 22, 2014",60.795,60.945,60.755,73823.3,,60.945
"Sep 23, 2014",60.955,61.055,60.875,74535.9,,61.055
"Sep 24, 2014",61.045,61.065,60.905,74185.3,,60.945
"Sep 25, 2014",60.965,61.42,60.925,74503,,61.335
"Sep 26, 2014",61.345,61.625,61.015,74239,,61.145
"Sep 29, 2014",61.155,61.62,61.155,74993.2,,61.56
"Sep 30, 2014",61.615,61.94,61.565,75131,,61.94
"Oct 1, 2014",61.835,61.965,61.593,74966.8,,61.725
"Oct 2, 2014",61.72,61.72,61.545,74674.1,,61.545
"Oct 3, 2014",61.545,61.545,61.545,73641.9,,61.545
"Oct 6, 2014",61.545,61.545,61.545,73688.1,,61.545
"Oct 7, 2014",61.465,61.485,61.28,74394.3,,61.305
"Oct 8, 2014",61.47,61.525,61.31,74697.9,,61.36
"Oct 09, 2014",61.145,61.145,60.91,74860.9,,61.055
"Oct 10, 2014",61.165,61.365,61.125,74706.4,,61.285
"Oct 13, 2014",61.285,61.315,61.01,75202.5,,61.01
"Oct 14, 2014",60.945,61.48,60.935,75795.1,,61.4
"Oct 15, 2014",61.31,61.41,61.25,75963.9,,61.38
"Oct 16, 2014",61.485,61.94,61.435,76530.1,,61.84
"Oct 17, 2014",61.765,61.765,61.36,75844.7,,61.365
"Oct 20, 2014",61.315,61.385,61.185,76337.6,,61.235
"Oct 21, 2014",61.315,61.377,61.12,76699.7,,61.15
"Oct 22, 2014",61.095,61.315,61.015,76129.9,,61.2
"Oct 23, 2014",61.16,61.21,61.1,75456.6,,61.17
"Oct 24, 2014",61.17,61.17,61.17,75456.6,,61.17
"Oct 27, 2014",61.185,61.375,61.185,75371.5,,61.305
"Oct 28, 2014",61.255,61.425,61.162,75383.8,,61.188
"Oct 29, 2014",61.265,61.375,61.22,75025,,61.29
"Oct 30, 2014",61.29,61.555,61.29,73880.9,,61.44
"Oct 31, 2014",61.365,61.615,61.3,71484.9,,61.405
"Nov 3, 2014",61.51,61.51,61.325,71718.8,,61.42
"Nov 4, 2014",61.365,61.415,61.31,71642.1,,61.395
"Nov 5, 2014",61.34,61.545,61.3,70164.5,,61.435
"Nov 06, 2014",61.44,61.515,61.425,70348.8,,61.5
"Nov 07, 2014",61.44,61.7,61.44,71157.6,,61.52
"Nov 10, 2014",61.465,61.57,61.39,71431,,61.485
"Nov 11, 2014",61.57,61.65,61.515,71249.1,,61.515
"Nov 12, 2014",61.535,61.57,61.375,71613.8,,61.375
"Nov 13, 2014",61.49,61.635,61.49,71511.5,,61.6
"Nov 14, 2014",61.63,61.86,61.56,72204.7,,61.715
